id,trial,trialord,look,lookdir,age,female_baby,female_parent,lullaby_side,lullaby_order,lullaby_character,condition,lultrial
8019,5,3,9720,r,8.7720737,0,1,left,first,red,1,0
8019,6,4,10080,l,8.7720737,0,1,left,first,red,1,1
8019,6,4,1104,r,8.7720737,0,1,left,first,red,1,1
8019,7,7,2464,l,8.7720737,0,1,left,first,red,1,
8019,7,7,3764,r,8.7720737,0,1,left,first,red,1,
8019,8,5,9600,l,8.7720737,0,1,left,first,red,1,1
8019,8,5,720,r,8.7720737,0,1,left,first,red,1,1
8019,9,6,1616,l,8.7720737,0,1,left,first,red,1,0
8019,9,6,6932,r,8.7720737,0,1,left,first,red,1,0
8019,10,10,1584,l,8.7720737,0,1,left,first,red,1,
8019,10,10,5844,r,8.7720737,0,1,left,first,red,1,
8019,11,7,2928,l,8.7720737,0,1,left,first,red,1,0
8019,11,7,5932,r,8.7720737,0,1,left,first,red,1,0
8019,12,8,2304,l,8.7720737,0,1,left,first,red,1,1
8019,12,8,3504,r,8.7720737,0,1,left,first,red,1,1
8020,1,1,5068,l,4.7310061,1,1,right,first,blue,5,
8020,1,1,2080,r,4.7310061,1,1,right,first,blue,5,
8020,2,1,12548,l,4.7310061,1,1,right,first,blue,5,1
8020,2,1,0,r,4.7310061,1,1,right,first,blue,5,1
8020,3,2,6320,l,4.7310061,1,1,right,first,blue,5,0
8020,3,2,2640,r,4.7310061,1,1,right,first,blue,5,0
8020,4,4,6388,l,4.7310061,1,1,right,first,blue,5,
8020,4,4,224,r,4.7310061,1,1,right,first,blue,5,
8020,5,3,8908,l,4.7310061,1,1,right,first,blue,5,0
8020,5,3,3392,r,4.7310061,1,1,right,first,blue,5,0
8020,6,4,7248,l,4.7310061,1,1,right,first,blue,5,1
8020,6,4,2960,r,4.7310061,1,1,right,first,blue,5,1
8020,7,7,4560,l,4.7310061,1,1,right,first,blue,5,
8020,7,7,5872,r,4.7310061,1,1,right,first,blue,5,
8020,8,5,9056,l,4.7310061,1,1,right,first,blue,5,1
8020,8,5,3696,r,4.7310061,1,1,right,first,blue,5,1
8020,9,6,11116,l,4.7310061,1,1,right,first,blue,5,0
8020,9,6,928,r,4.7310061,1,1,right,first,blue,5,0
8020,10,10,720,l,4.7310061,1,1,right,first,blue,5,
8020,10,10,5700,r,4.7310061,1,1,right,first,blue,5,
8020,11,7,6524,l,4.7310061,1,1,right,first,blue,5,0
8020,11,7,1808,r,4.7310061,1,1,right,first,blue,5,0
8020,12,8,2708,l,4.7310061,1,1,right,first,blue,5,1
8020,12,8,9456,r,4.7310061,1,1,right,first,blue,5,1
8020,13,13,5600,l,4.7310061,1,1,right,first,blue,5,
8020,13,13,6208,r,4.7310061,1,1,right,first,blue,5,
8021,1,1,331,l,4.2710471,0,1,left,first,blue,10,
8021,1,1,3648,r,4.2710471,0,1,left,first,blue,10,
8021,3,2,0,l,4.2710471,0,1,left,first,blue,10,0
8021,3,2,587,r,4.2710471,0,1,left,first,blue,10,0
8021,4,4,400,l,4.2710471,0,1,left,first,blue,10,
8021,4,4,5843,r,4.2710471,0,1,left,first,blue,10,
8021,5,3,2368,l,4.2710471,0,1,left,first,blue,10,0
8021,5,3,11300,r,4.2710471,0,1,left,first,blue,10,0
